epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,5042.59,1.72637,1.01914,0.00076,0.73258,0.65204,0.74103,0.43945,1.5599,0.93963,0.00082,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5126.92,1.71543,1.04851,0.00076,0.73747,0.65702,0.74047,0.4462,1.5493,0.95181,0.00082,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5211.6,1.68745,0.98316,0.00074,0.7125,0.68966,0.74428,0.44464,1.56366,0.91737,0.00082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5295.76,1.68023,0.99174,0.00071,0.71572,0.65545,0.73786,0.43886,1.56448,0.94777,0.00083,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5379.68,1.67943,1.0055,0.00076,0.73222,0.63243,0.72631,0.43655,1.54528,0.99393,0.00082,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5463.82,1.72084,1.00201,0.00075,0.73734,0.65997,0.74233,0.43704,1.55943,0.94263,0.00083,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5548.32,1.70191,0.96633,0.00072,0.72253,0.67012,0.74143,0.44835,1.53701,0.9425,0.00081,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5633.11,1.68316,0.97517,0.00074,0.73423,0.66518,0.74922,0.45263,1.5312,0.91569,0.0008,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5717.29,1.66104,0.93807,0.00074,0.73991,0.65867,0.74689,0.45448,1.5323,0.91944,0.00081,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5801.61,1.68562,1.04388,0.00073,0.70823,0.6425,0.71246,0.4314,1.5526,1.02158,0.00083,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5886.24,1.7126,1.01185,0.00072,0.71379,0.66417,0.74031,0.44057,1.54839,0.95463,0.00082,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5970.41,1.7633,0.99939,0.00074,0.73098,0.6778,0.75508,0.44986,1.53507,0.90976,0.00081,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6054.8,1.68922,0.95177,0.00072,0.73478,0.67601,0.74678,0.44972,1.52128,0.92628,0.00081,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6139.09,1.69111,0.97776,0.00071,0.72034,0.6706,0.74823,0.44824,1.54313,0.93229,0.00081,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6223.25,1.68693,0.97567,0.00071,0.74868,0.65906,0.7437,0.44865,1.52975,0.9817,0.0008,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6307.57,1.66871,0.9844,0.00072,0.75794,0.65399,0.74875,0.4532,1.5375,0.93499,0.0008,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6391.66,1.71292,0.98783,0.00072,0.73406,0.67124,0.74907,0.45172,1.52716,0.9277,0.00081,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6476.28,1.71261,0.95264,0.00073,0.73729,0.66975,0.75487,0.45526,1.52218,0.89006,0.0008,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6560.94,1.67831,0.93678,0.00074,0.77192,0.64837,0.75457,0.45814,1.52103,0.92305,0.0008,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6645.44,1.70013,0.98912,0.00072,0.71649,0.66682,0.73465,0.44386,1.52801,0.93736,0.0008,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6729.79,1.70977,1.00702,0.00073,0.75545,0.6563,0.74634,0.44625,1.53274,0.91843,0.00081,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6814.22,1.70547,0.98241,0.00071,0.73049,0.65956,0.74346,0.45379,1.51267,0.94918,0.00079,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6898.56,1.66962,0.98076,0.00072,0.72168,0.6932,0.76066,0.4638,1.50917,0.90582,0.0008,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6983.04,1.73181,1.01385,0.00071,0.74266,0.65798,0.75166,0.45443,1.53548,0.90569,0.00081,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7067.36,1.70047,0.96372,0.00071,0.73586,0.6736,0.74748,0.45326,1.52139,0.9044,0.0008,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
